,_id,asset_text,spend,impressions,clicks,link_click,post_engagement,lead,page_engagement,post_reaction,video_view,cpm,cpc,ctr,cpl,ctl,campaign_id,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,landing_page_view,comment,like,post,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
92,66d7e314b3fdb1cfea446416,2BHK Onwards KOHINOOR CENTRAL PARK 🏡,22.173641,44.0,2.0,1.0,1.0,0.0,1.0,0.0,,503.94638636363635,11.0868205,0.045454545454545456,,,120210858209180764,,,,,,,,,,,,
93,66d7e314b3fdb1cfea446417,2BHK Dream home Starting 85 Lakhs,307.061939,1992.0,23.0,14.0,18.0,0.0,18.0,2.0,1.0,154.14755973895583,13.350519086956522,0.011546184738955823,,,120210858209180764,,,,,,1.0,,,,,,
94,66d7e314b3fdb1cfea446418,2BHK starting 84 lakhs. Download Brochure,6352.608155,105035.0,644.0,429.0,578.0,9.0,579.0,148.0,,60.480869757699814,9.864298377329192,0.006131289570143286,705.8453505555556,71.55555555555556,120210858209180764,9.0,9.0,,1.0,1.0,,,,,,,
95,66d7e314b3fdb1cfea446419,Kohinoor Central Park I Download Brochure,4322.410389,48905.0,352.0,196.0,245.0,3.0,245.0,41.0,4.0,88.38381329107452,12.27957496875,0.007197628054391166,1440.803463,117.33333333333333,120210858209180764,3.0,2.0,,2.0,,1.0,1.0,,,,,
96,66d7e314b3fdb1cfea44641a,Unlock High ROI Instantly!,2578.299833,5511.0,106.0,39.0,46.0,5.0,48.0,7.0,,467.846095626928,24.32358333018868,0.019234258755216838,515.6599666,21.2,120210852204310764,5.0,,,,2.0,,,,,,,
97,66d7e314b3fdb1cfea44641b,Secure Your Space Today!,66.711702,47.0,1.0,0.0,0.0,0.0,0.0,0.0,,1419.397914893617,66.711702,0.02127659574468085,,,120210852204310764,,,,,,,,,,,,
98,66d7e314b3fdb1cfea44641c,Invest in Prime Retail Now!,176.198847,488.0,7.0,2.0,3.0,0.0,3.0,1.0,,361.0632110655738,25.171263857142858,0.014344262295081968,,,120210852204310764,,,,,,,,,,,,
99,66d7e314b3fdb1cfea44641d,Own Your Dream Flat Today,509.183913,368.0,4.0,0.0,1.0,0.0,1.0,1.0,,1383.6519375,127.29597825,0.010869565217391304,,,120210849810150764,,,,,,,,,,,,
100,66d7e314b3fdb1cfea44641e,Luxurious Living Starts Now!,1947.979832,2037.0,46.0,10.0,12.0,2.0,12.0,2.0,,956.2983956799214,42.347387652173914,0.022582228767795778,973.989916,23.0,120210849810150764,2.0,,,,,,,,,,,
101,66d7e314b3fdb1cfea44641f,Book Your 3BHK in Gurugram!,268.366652,557.0,4.0,2.0,2.0,0.0,2.0,0.0,,481.8072746858169,67.091663,0.00718132854578097,,,120210849810150764,,,,,,,,,,,,
102,66d7e314b3fdb1cfea446420,Book Your 3BHK in Gurugram!,127.360953,579.0,2.0,0.0,0.0,0.0,0.0,0.0,,219.967103626943,63.6804765,0.0034542314335060447,,,120210849810150764,,,,,,,,,,,,
103,66d7e314b3fdb1cfea446421,Luxurious Living Starts Now!,793.864283,2560.0,19.0,6.0,6.0,1.0,6.0,0.0,,310.103235546875,41.78233068421053,0.007421875,793.864283,19.0,120210849810150764,1.0,1.0,,,,,,,,,,
